feature,gain,fold,mean_gain
abs_energy_5_by_3,202,3,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",181,3,212.42857142857142
2__flux_dif3,162,3,278.42857142857144
5__binned_entropy__max_bins_10,191,3,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,228,3,266.14285714285717
0__mean,174,3,209.85714285714286
flux_norm_fft_4_by_2,147,3,215.71428571428572
bottom__abs_energy_norm,137,3,177.57142857142858
4__skewness_diff,251,3,246.42857142857142
flux_diff_skew,260,3,240.85714285714286
flux_diff__longest_strike_below_mean,200,3,250.28571428571428
4__median,187,3,196.57142857142858
4__skewness,158,3,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",235,3,247.42857142857142
flux_diff_4_by_3,151,3,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",164,3,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,161,3,190.28571428571428
flux__mean_second_derivative_central,161,3,195.71428571428572
2__binned_entropy__max_bins_10,144,3,187.14285714285714
flux_diff_3_by_0,200,3,225.14285714285714
1__flux_dif3,193,3,199.42857142857142
5__sample_entropy_norm,206,3,236.28571428571428
flux_norm_fft_2_by_0,117,3,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",192,3,195.14285714285714
4__median_diff,126,3,160.57142857142858
4__flux_by_flux_ratio_sq_skew,146,3,153.71428571428572
1__sample_entropy_norm,222,3,227.42857142857142
4__autocorrelation__lag_3,149,3,177.57142857142858
flux__absolute_sum_of_changes,222,3,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",174,3,185.42857142857142
3__median,194,3,191.85714285714286
2__mean_second_derivative_central,178,3,200.42857142857142
flux_norm_fft_4_by_0,112,3,135.57142857142858
flux_diff_4_by_2,182,3,185.28571428571428
abs_energy_5_by_4,164,3,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",176,3,225.71428571428572
flux_diff_1_by_0,152,3,207.85714285714286
abs_energy_3_by_2,140,3,164.42857142857142
flux_diff_5_by_1,144,3,138.14285714285714
flux_norm_fft_3_by_0,150,3,161.0
3__skewness_diff,106,3,169.28571428571428
0__maximum,160,3,214.57142857142858
abs_energy_5_by_1,96,3,117.0
flux_ratio_sq_skew,209,3,162.28571428571428
object_id_div_27,134,3,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,142,3,199.42857142857142
5__autocorrelation__lag_3,159,3,149.0
flux__mean_abs_change,215,3,237.42857142857142
1__maximum_diff,353,3,357.7142857142857
flux__count_above_mean,158,3,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",164,3,203.14285714285714
flux_diff__last_location_of_minimum,103,3,148.28571428571428
3__autocorrelation__lag_3,163,3,172.71428571428572
flux_diff_5_by_4,117,3,144.0
object_id_div_22,126,3,142.28571428571428
flux_norm_fft_3_by_1,154,3,171.85714285714286
